star_id,star_name
17448,Atik
18246,Atik
18614,Menkib
22365,Osobliwa gwiazda Bidelmana
2071,Alrial I
2081,Ankaa
3245,Alrial II
5054,Nenque
5165,Alrial III
5348,Wurren
5862,Alrial IV
6867,Alrial V
24186,Gwiazda Kapteyna
106824,Sāmaya
111188,Fum al Hui
113368,Fomalhaut
1547,Citadelle
3786,Kuton I
3829,Gwiazda van Maanena
5737,Revati
5743,Kuton III
6643,Bélénos
7097,Alpherg
8198,Torcular
9487,Alrescha
113889,Fumalsamakah
114322,Ebla
31895,Nosaxa
35488,Bernes 135
38170,Azmidi
39429,Naos
39757,Tureis
17096,Tupi
3479,Cocibolca
78104,Iklil
78265,Fang
78401,Dschubba
78820,Acrab
78933,Jabhat Acrabi I
78990,Jabhat Acrabi II
79374,Jabbah
79431,Sharjah
80112,Alniyat
80763,Antares
81266,Paikauhale
82396,Larawag
82514,Xamidimura
82545,Pipirima
83547,Rapeto
85696,Lesath
85927,Shaula
86228,Sargas
86670,Mula
87073,Girtab
87261,Fuyue
87294,Vanant
76276,Nasak Yamani I
77070,Unukalhai
77233,Chow
77450,Gudja
77622,Nasak Yamani II
78072,Nasak Shamiya II
89962,Alava
90004,Alasia
92037,Tweedledee and Tweedledum
92895,Kaveh
92946,Alya
48711,Bibhā
96078,Uruk
96757,Sham
88414,Pincoya
88635,Alnasl
89341,Polis
89642,Hamalwarid
89931,Kaus Media
90185,Kaus Australis
90496,Kaus Borealis
92041,Namalsadirah I
92761,Ainalrami
92845,Ain al Rami II
92855,Nunki
93506,Ascella
93864,Namalsadirah II
94141,Albaldah
94643,Al Kiladah
94645,Gumala
95124,Belel
95241,Arkab Prior
95262,Sika
95294,Arkab Posterior
95347,Rukbat
95477,Namalsadirah III
95503,Namalsadirah IV
98066,Terebellum
98162,Terebellum II
98353,Terebellum III
98688,Terebellum IV
17489,Celaeno
17499,Electra
17531,Taygeta
17573,Maia
17579,Asterope
17588,Sterope II
17608,Merope
17702,Alcyone
17847,Atlas
17851,Pleione
20205,Prima Hyadum
20250,Alkalbain I
20430,Alkalbain II
20455,Secunda Hyadum
20635,Alkalbain III
20641,Alkalbain IV
20711,Alkalbain V
20885,Hyadum III
20889,Ain
20894,Chamukuy
21109,Hoggar
21421,Aldebaran
25428,Elnath
25945,Rubinowa Gwiazda
26451,Tianguan
82273,Atria
8796,Mothallah
10064,Mizan
5529,Emiw
116084,Poerava
40687,Násti
41704,Muscida
42080,Althiba I
42438,Althiba II
42527,Althiba III
44127,Talitha
44390,Althiba IV
44471,Alkaphrah
44857,Althiba V
44901,Alhaud I
45038,Althiba VI
45075,Alhaud II
45493,Alhaud III
46471,Intercrus
46733,Alhaud IV
46853,Alhaud V
46977,Althiba VII
48319,Alhaud VI
48402,Alhaud VII
50372,Tania Borealis
50801,Tania Australis
53721,Chalawan
53910,Merak
54035,Lalande 21185
54061,Dubhe
55219,Alula Borealis
57399,Taiyangshou
57820,Aniara
57939,Groombridge 1830
58001,Phecda
59774,Megrez
62956,Alioth
65378,Mizar
65477,Alcor
66192,Liesma
67301,Alkaid
73136,Baekdu
11767,Gwiazda Polarna
72607,Kochab
74793,Pherkad Minor
75097,Pherkad
77055,Akfa Farkadain
79822,Anwa Farkadain
82080,Circitores
85822,Yildun
39953,Regor
42913,Alsephina
44816,Suhail
45941,Markeb
47202,Kalausi
48235,Natasha
57370,Flegetonte
57757,Zavijava
60129,Zaniah
61941,Porrima
61941,Arich
63090,Minelauva
63608,Vindemiatrix
65474,Spica
66249,Heze
69427,Kang
69701,Syrma
69974,Khambalia
70755,Elgafar
71957,Rijl al Awwa
72339,Mönch
95771,Anser
